Participants,Signal,Tags
7,7,"dagger,dagger waves,sawtooth,chainsaw,constant,angular,Quick,fast-paced,wired,caffeine,no natural energy,not unpleasant,anxious feeling,artificial energy,warm,pink noise,relax,bed"
7,8,"melodic,paradiddle,rhythm,meditative,thicker,ambiance,club,house music,deep house,ambiance,warmth,rhythm,dispersed,surface,making contact,receiving,larger body"
7,9,"obvious pulsing rhythm,alarms,Metal Gear Solid,factory-wide alarm,security system,industrial plant,milder,Insistent,Ebbing,Broad,Spacious,take note,pay attention,not dangerous,alarming,importance,better foreboding"
7,10,"chirpy,birds,nervous,frolicking,playing,too much energy,get rid of,Incessant,excitement,nervousness,discharged,kid,playing,excited,afraid,too much energy to spare"
7,11,"sweatiness,slight pulsing,ragtag ball,rolling,not much consistency,many-sided,rolling animal,forgot what cartoon,ant-eater-type,long snout,roll itself,roll around spaces,big,fat,strange angles,subsections"
7,12,"brittle,doesn't have much substance,glass,fracture,fine,complexly shaped,fragile,stepping on eggshells,be careful,Stepping on ice,Touching something delicate"
7,13,"buzzing,fast,less deep,shallow,background noise,work ethic,consistency,determination,running over many days,commitment"
7,14,"submarine,underwater,gloopy,muffled,bubbles,medium-sized,manmade metallic structures,pulses,ambivalence,indifference"
7,15,"sweaty,fingers,buzziness,no current,sweaty glass,rattling,ticklish,confused,frustrated"
7,16,"tanker,similar,sweaty,pane of glass,hard,specific,current,furry,hamster,Small,furry,mild-tempered,curled up,vibrating,anxious,charming,Coziness,Warmth,Sanctuary,Safety"
8,1,"steady,little beats,ping pong,delay,slow,drawn-out,jumpy,bouncy,exciting,positive,Playing ping pong,not a constant kind of vibration,up and down,engaged with the glass and the screen"
8,2,"gentle,hardest,warm-up,friction,finger,concentrate,constant,forget,not interested,invested,beach,running hands,sand,colder,no rhythm"
8,3,"soft vibration,beat,spinning,DJ,disco,jam session,gentle,soft,energetic,connected,relax,chill out,bodega,good group of friends,not heavy,feel-good,social"
8,4,"haphazard,siren,soft,warning,danger,ominous,movies,barrack,suspenseful,Thrilling,Danger,encroaching,Haphazardous,Slippery,gripping,slipping,uncomfortable"
8,5,"small,big,vibrator,sexual,interesting,pattern,exciting,Exciting,Interesting,Evoking"
8,6,"something,stop,steady beat,irritating,pattern,stopped and then starts,irritating,I'm anticipating something,I don't get it,drawn out,setting,vibrator,irritating,climax,Not consistent"
8,7,"weird,impossible,running your finger along,surface,broken,struggling,daydreaming,mindlessly,get lost in the sensation,vibration,not focusing,not concentrating,confused"
8,8,"cool,interactive,skipping,going for a walk,excited,hopping alone,xylophone,light up-beat,interactive,playful,Groovy,fun,communication through glass"
8,9,"pressure,not the signal,in control,unsettled,lost control,insecure,Science Museum,purple electric lights,delayed reaction"
8,10,"light,fluffy,dog,comforting,Soft,Furry,Cushiony,not velvety,Comforting,sweet,cuddly,dog hug,Petting dog,heartbeat,animal"
8,11,"heartbeat,heartbeat,lying,freaked out,someone's chest,shocked,astounded,rubbing hand on chest,feel someone's heartbeat,close to someone"
8,12,"not light,more vicious,slime,rubbery slime,bounce back,liquid sensation,not sure,game,fun,playful"
8,13,"skating,ice skating,slide along the ice,gliding,relaxing,long sensation,calm,empathetic,glass is listening to me,patient,talk deeply"
8,14,"electric,anxious,electric,gaps,further apart,shouldn't be there,touched,electric,weird"
8,15,"constant beat,keep touching the glass,music playing,deaf,listening to a song,familiar,Up-beat,Connected,fun,exciting,stimulating,evolving,stimulating,at a party,feeling the vibration,speaker,mood,party"
8,16,"party vibe,against a speaker,beat of a song,not upbeat,concert,in-between act,silent,music,Ominous,shady,not trust,hooded,not open,threatened,wary"
9,1,"gliding,finger across the screen,normal window,squeaky,windowpane,hard fingertips"
9,2,"subtle,not vigorous,calming,loose,indents,indents,not alarming,subtle"
9,3,"less rhythmic,Erratic"
9,4,"uneasy,not smoothly gliding,unpredictable,alarming,computer,not available,can't be accessed"
9,5,"soothing,relaxing,tender,smooth,soft,comforting,present,calm"
9,6,"rougher,dragging,sandpaper,telling me not to do something,Posh,Abrasive,Black and white"
9,7,"not obvious,vibrator,subtle,motor,vibrator,Pleasure,Getting off,Sensual sensuality"
9,8,"sweaty,stuck,vibration,Carelessness,freeing,not detect pattern,own thing,own thing"
9,9,"not intentional,subtle,winter,wispy,delicate,light,suggesting,Crisp,tender,trivial,novel,not urgent,kissing my fingers,not nudging in a certain direction,not much contact,goes away instantly,tiny bits of them,not aggressive"
9,10,"not urgent,not aggressive,not directly,not touching,machinery,not touching,stroking,outside of a car,can feel the engine,not touching,car"
9,11,"smooth,gliding,restriction,limited,resistance,slide,harder,push,pressure,smooth,gliding,Subtle"
9,12,"peppy,alarm,Peppy,alarm,excitable,erratic,energetic,worried,anxious,vibrations,alarmed"
9,13,"panic,heart palpitation,alert,aware,work moving around,panic,spiraling into dread,subtle,overthinking"
9,14,"beat,tempo,vigilant,alarm,steady,tempo,organized,fear-mongering,Alert,Aware,Awake"
9,15,"chirpy,little bird,chirping,alarm,emergency alarm,fire alarm,panic,good,panic,tell me something,aware of"
9,16,"dragging,slow,inconsistent,hard,working against the current,Prickly,Tricky,negotiating,set in their waves,black and white,stubborn"
10,1,"pleasant,abrupt,sweaty fingers,piece of glass,difficult to distinguish,subtle,notification,underwhelming,small stops,subtle feeling,edginess,sharp stop edginess"
10,2,"rugged,uneven,brick wall,uneven,not smooth"
10,3,"pattern,rhythmic,music,chord progression,baseline,rhythm,feels good,speaks to my brain,chord progression,bass line,follow along to,brain activated"
10,4,"harsher,warning,computer,unsuccessful,sound,something went wrong,unsuccessfulness,Try again"
10,5,"Apple Watch,up in pitch,down in pitch,waves of vibration,monotone,waves,surge,vibration,on and off,binary state,On-off"
10,6,"more coarse,spread out,coarse feeling,combination of coarse to fine,static,static feeling,coarse vibration"
10,7,"sharpness,needles stabbing,prickly,hairs rise,back of your neck,Getting kissed in the back of the neck,weird space between pleasure and pain,not nice,not pleasant,stabby,arousal"
10,8,"longer bursts of vibrations,activated,ongoing,live progress,not hard-working,sticking to their guns,doing what they're told,get up every morning,do what you're supposed to do"
10,9,"subtle,pulsing,stabby,attack,hard,decaying,sine wave,slow beat,up and down"
10,10,"pronounced,attention-grabbing,easily,spacing,sudden,minutemud,pay attention,importance"
10,11,"similar,more spacing,same vein,sporadic,heartbeat,little winded,Relaxation,lower physical effort"
10,12,"high attack,quick decay,spatial separation,distinguish,scattered,not under control,living in bursts,disappear,come back full force"
10,13,"muddy,weaker,engine,motor,running in idle,standing,old steam train,waiting,platform ready to go,uniform pace,syncopated"
10,14,"dance music,high beat frequency,fast-paced music,thumping sound,high bpm,working at a fast pace,attention-grabbing,neutral way,drawn to look towards"
10,15,"muddy,not clearly defined,not distinctively,subtle,indifferent"
10,16,"not feeling,vibrator,fast onset,quick decay,quick,vibrating feeling,continuous vibration,ticklish,travels up the arm,nice sensation,pleasantness,no message,hedonistic,notification,sharp"
11,1,"tingly,tingling,odd,grainy,something in between,finger,glass,Not very different,really,not that much"
11,2,"slippery,wet,liquid,icy,wet,not cold,wrong,cleaned,glass,slippery,spilled,slippery,slippery,easier to move,faster"
11,3,"odd,surface,can't feel,thin piece of carpet,not fluffy,boring carpet,hospitals,bumpy,in between,carpet sensation,static,harder,not glass"
11,4,"can't feel,harder,weird,harder,slippery,hard,not much,sensation"
11,5,"not feeling,can't work out,harder,run your hand from side to side,vibrations,phone,vibrating,little bit,phone in pocket"
11,6,"perspex glass,plasticky,dryer,not pleasant,unpacking boxes,not great,wouldn't want to voluntarily touch it,run your hands over,Take your hands off"
11,7,"computer screen,not pure glass,tactile,perspex-like feeling,phone,touch screen laptop"
11,8,"lighter,soft,weird,not slippery,soft,pillow,cloth-like,easy,gentle,kind,soft-spoken,less friction,calming,painting"
11,9,"strange vibration sensation,stuck,screen,sticky,unpleasant,little vibrations,uncomfortable,iPhone alarm,sequence"
11,10,"worse,last one,better,phone's vibrating,phone call,annoying ringtones,ringing,vibration setting,phone,vibration,urgent,doing something,ignoring"
11,11,"not much difference,not really,not really,cannot feel,pleasant,vibrating a lot"
11,12,"odd sensation,not completely smooth,get stuck,rubber boots,rubber wellies,brush your feet,stuck,rubber,glass,gets stuck or caught"
11,13,"pattern,vibration,familiar,not ringing,music,phone,speaker,Consistent"
11,14,"different on each finger,can't associate,vibrations,fades,brail,bumpy,individual bumps,texture"
11,15,"tingling in fingers,glass,glass screen protector,nice sensation,not sticky,not uncomfortable,static,static shock"
11,16,"wood,sanded,smooth,wood,not smooth,not textured,hardy,rough around the edges,granddad,sandpaper,wood,drawer"
12,1,"tiny little,very light bumps,super,super light,calloused fingers,stubbly beard,day after shaving,annoyance"
12,2,"nothing,not continuous,tiny footsteps,skip,faint heartbeat,testing somebody,quiet,mousy person,no much to say,child,quiet child,skipping,playground"
12,3,"fainter,screen,slight buzz,tiny steps,skipping,continuous,raror,super light,Nothing"
12,4,"nothing"
12,5,"no feeling,light vibration,pinky,imagining it,want to"
12,6,"super light,friction,glass,little tiny bumps,sand"
12,7,"super light,pulses,far apart,one wide gap,super light,hard to detect,pinky,Nonexistent,sad,dying bee"
12,8,"nothing,nothing,nothing,nothing,say,nothing"
12,9,"numb,not much,nothing happening,not getting anything"
12,10,"not much going on,very light,continuous buzz,very,very light,continuous,very,very light buzz"
12,11,"nothing,first finger,second,get,less continuous,bumpy,light,not much to say,barely feel,gravelly"
12,12,"nothing,second,pulsing,super light,not super good,grand,gentle buzz,pulsing,not continuous,not annoyed"
12,13,"pinky,speed bumps,ant,ant-sized speed bumps,small,sensation,bumpy,gaps,uncomfortable,gaps,closer together,blood taken,clips,heartbeat"
12,14,"nothing,glass,sensations,pinky finger,intense,longer,shorter,one,okay,manic,beats,Xbox,Playstation,crash,shoots,vibrates,shot,crashed into something"
12,15,"nothing,nothing,nothing,super light,big gaps,chilled-out,stroll on the beach,phone vibrates,relax,a bit of a stoner,deep thoughts,chill-out,whatever,hanging out,just chilled out,good time"
12,16,"pinky,picking,uneven,not equal,bad,not nice,intense,not a good time,Bad,not sad,not angry,bad emotion Annoyance,On even,sloppy,annoyed,uncomfortable"
